# 引用路径	状态	是什么	为什么	出处	何时消除
原版资源/解包产物/原版数值表.md	不可得	原版解包/分析记录文档	原版资源/ 本机已被清理，不在盘（实测）	原版资源/清单.md:5-6、:25-31；client/资源欠缺清单.md:76	用户补回 CS 1.6 客户端本体 / HLSDK / 解包产物，或按切片 AL/AM/AR/AW 的做法从公开 repack 重新取回
原版资源/解包产物/原版HUD布局.md	不可得	原版解包/分析记录文档	原版资源/ 本机已被清理，不在盘（实测）	原版资源/清单.md:5-6、:25-31；client/资源欠缺清单.md:76	用户补回 CS 1.6 客户端本体 / HLSDK / 解包产物，或按切片 AL/AM/AR/AW 的做法从公开 repack 重新取回
原版资源/cs16src/hlsdk/halflife-master	不可得	原版载体	原版资源/ 本机已被清理，不在盘（实测）	原版资源/清单.md:5-6、:25-31；client/资源欠缺清单.md:76	用户补回 CS 1.6 客户端本体 / HLSDK / 解包产物，或按切片 AL/AM/AR/AW 的做法从公开 repack 重新取回
原版资源/cs16src/cs16game/app/cstrike/	不可得	原版载体目录	原版资源/ 本机已被清理，不在盘（实测）	原版资源/清单.md:5-6、:25-31；client/资源欠缺清单.md:76	用户补回 CS 1.6 客户端本体 / HLSDK / 解包产物，或按切片 AL/AM/AR/AW 的做法从公开 repack 重新取回
原版资源/cs16src/cs16game/app/cstrike/server.cfg	不可得	原版配置脚本	原版资源/ 本机已被清理，不在盘（实测）	原版资源/清单.md:5-6、:25-31；client/资源欠缺清单.md:76	用户补回 CS 1.6 客户端本体 / HLSDK / 解包产物，或按切片 AL/AM/AR/AW 的做法从公开 repack 重新取回
原版资源/cs-docker/files/server.cfg	不可得	原版配置脚本	原版资源/ 本机已被清理，不在盘（实测）	原版资源/清单.md:5-6、:25-31；client/资源欠缺清单.md:76	用户补回 CS 1.6 客户端本体 / HLSDK / 解包产物，或按切片 AL/AM/AR/AW 的做法从公开 repack 重新取回
原版资源/cs16src/cs16game/app/cstrike/listenserver.cfg	不可得	原版配置脚本	原版资源/ 本机已被清理，不在盘（实测）	原版资源/清单.md:5-6、:25-31；client/资源欠缺清单.md:76	用户补回 CS 1.6 客户端本体 / HLSDK / 解包产物，或按切片 AL/AM/AR/AW 的做法从公开 repack 重新取回
原版资源/cs16src/cs16_build.py	不可得	原版解包/导出脚本	原版资源/ 本机已被清理，不在盘（实测）	原版资源/清单.md:5-6、:25-31；client/资源欠缺清单.md:76	用户补回 CS 1.6 客户端本体 / HLSDK / 解包产物，或按切片 AL/AM/AR/AW 的做法从公开 repack 重新取回
原版资源/cs16src/cs16_anim.py	不可得	原版解包/导出脚本	原版资源/ 本机已被清理，不在盘（实测）	原版资源/清单.md:5-6、:25-31；client/资源欠缺清单.md:76	用户补回 CS 1.6 客户端本体 / HLSDK / 解包产物，或按切片 AL/AM/AR/AW 的做法从公开 repack 重新取回
cs16_anim.py	不可得	原版解包/导出脚本	原版资源/ 本机已被清理，不在盘（实测）	原版资源/清单.md:5-6、:25-31；client/资源欠缺清单.md:76	用户补回 CS 1.6 客户端本体 / HLSDK / 解包产物，或按切片 AL/AM/AR/AW 的做法从公开 repack 重新取回
原版资源/cs16src/cs16game/app/cstrike/models/player/*/*.mdl	不可得	原版模型	原版资源/ 本机已被清理，不在盘（实测）	原版资源/清单.md:5-6、:25-31；client/资源欠缺清单.md:76	用户补回 CS 1.6 客户端本体 / HLSDK / 解包产物，或按切片 AL/AM/AR/AW 的做法从公开 repack 重新取回
